2022-04-03,Tory Delgado,1,2158
2022-04-22,Marivel Knight,5,2842
2022-05-24,Jene Franklin,1,3643
2022-06-22,Jamison Santiago,4,1097
2022-05-28,Kasey Wolfe,1,1236
2022-01-09,Kathey Ryan,5,1210
2022-03-30,Elenore Moore,2,2877
2022-10-07,Walton Kennedy,1,2381
2022-10-06,Lakiesha Jimenez,1,2629
2022-01-19,Gertude Ramsey,3,1139
2022-12-08,Raguel George,4,2639
2022-01-07,Larry Lowe,5,2732
2022-06-13,Piedad Williams,1,1670
2022-10-17,Melvin Mckinney,2,3834
2022-10-17,Cher Lambert,3,1963
2022-12-13,Elvina Grant,1,2459
2022-10-27,Cristie Stone,1,3325
2022-01-18,Svetlana Hansen,3,2113
2022-07-21,Roseline Bowen,5,3446
2022-07-03,Lacy Flores,1,1013
2022-12-05,Leif Ferguson,3,3941
2022-12-09,Hedy Sullivan,2,1643
2022-09-16,Milagro Dean,2,3996
2022-01-01,Kathey Little,1,2293
2022-08-03,Johana Walton,4,2374
2022-04-13,Fe Reyes,1,2438
2022-06-29,Veola Valdez,5,2711
2022-01-23,Bethann White,2,2439
2022-06-15,Yi Robinson,4,2957
2022-10-03,Lawerence Ramsey,4,2126
2022-11-19,Stanton Sanders,5,1971
2022-01-09,Anibal Simon,5,3806
2022-02-11,Toney Warner,3,2198
2021-12-29,Palmer Paul,2,1130
2022-09-06,Daron Cummings,3,3960
2022-03-23,Danyell Daniels,3,3974
2022-11-27,Sal Baldwin,2,2733
2022-07-23,Martin Holmes,2,3723
2022-11-30,Lesley Collins,4,1050
2022-02-08,Keneth Bailey,4,2047
2022-10-20,Hang Robbins,4,1962
2022-06-23,Apryl Holland,1,3003
2022-12-08,Wei Lewis,4,3756
2022-08-31,Len Mendez,3,2716
2022-05-05,Zackary Steele,5,1063
2022-07-17,Brenton Cruz,3,1283
2022-07-13,Doloris Farmer,1,3471
2022-06-06,Olin Harris,3,2767
2022-01-28,Rhona Manning,4,3273
2022-07-12,Merrie Erickson,1,3584
2022-09-17,Ilda Turner,1,2068
2022-03-20,Porter Sutton,1,1543
2022-07-09,Hank Black,5,2992
2022-11-07,Jeramy Maxwell,3,3304
2022-02-10,Garfield Gardner,1,2425
2022-06-23,Becki Strickland,4,1533
2022-04-17,Britta Adkins,2,2105
2022-09-27,Jenice Richards,2,2769
2022-03-15,Dionna Doyle,3,3776
2022-07-25,Janay Gill,1,3621
2022-01-11,Benton Brooks,1,1271
2022-07-28,Quinn Munoz,2,3497
2022-06-27,Ezekiel Garner,5,2630
2022-01-19,Sandie Stanley,3,2376
2022-10-07,Jeramy Zimmerman,2,1324
2022-07-14,Danika Mendez,2,3879
2022-10-19,Chau Mack,3,1016
2022-02-07,Cleora Baldwin,1,1126
2022-12-27,Jordon Watkins,3,3098
2022-12-09,Danilo Dennis,1,3586
2022-08-13,Lavette Arnold,5,1140
2022-02-10,Sol Hamilton,3,2881
2022-12-15,Annalee Holloway,5,3985
2022-05-20,Daniell Moody,3,2661
2022-12-09,Gayle Byrd,4,3739
2022-06-15,Tristan Benson,3,1153
2022-07-18,Ellsworth Hunter,4,1800
2022-02-12,Shawana Alvarado,1,1519
2022-03-23,Sharri Ellis,1,1385
2022-05-14,Tyree Chapman,1,2605
2022-06-27,Bev Hicks,2,3065
2022-12-01,Marilu Barnes,1,2599
2022-09-16,Augustus Sandoval,5,1034
2022-01-18,Luna Ferguson,4,1604
2022-04-29,Sol Mcbride,2,3428
2021-12-28,Alix Moran,2,2145
2022-01-21,Von Meyer,3,3642
2022-05-04,Tyrell Farmer,1,2376
2022-09-08,Jae French,3,2340
2022-07-27,Criselda Murphy,4,3884
2022-04-17,Lawerence Pittman,5,3386
2022-01-06,Alisia Rhodes,4,3038
2022-09-06,Klara Gibbs,4,1458
2022-12-18,Irish Goodman,4,2447
2022-04-08,Dewitt Mills,1,1807
2022-08-05,Marcelo Rodgers,5,2622
2022-04-28,Porfirio Harvey,4,3094
2022-10-21,Yong Johnson,5,1846
2022-04-15,Hank Reese,5,1552
2022-12-20,Apolonia Griffin,5,1039
2022-12-27,Andreas Spencer,4,3172
2022-04-20,Hilario Johnston,1,2853
2022-07-01,Rhett Carter,3,2716
2022-02-07,Kelley Myers,2,2674
2022-01-30,Becki Wise,4,2558
2022-06-24,Mitzie Elliott,2,3058
2022-06-15,Reiko Watts,2,3215
2022-09-11,King Craig,4,3197
2022-10-11,Branda Rhodes,1,1972
2022-05-04,Fe Watson,4,1430
2022-12-16,Elly Myers,3,2976
2022-11-28,Odelia Ramos,4,1329
2022-02-08,Kathey Crawford,1,1518
2022-07-12,Sheilah Bryant,1,3422
2022-12-04,Odelia Wood,3,1422
2022-07-11,Kory Weaver,2,2798
2022-07-13,Lupe Washington,5,2718
2022-06-07,Jc Pearson,1,1408
2022-09-20,Tory Soto,1,3947
2022-03-11,Jerrica Brewer,3,3646
2022-03-23,Ricki Hill,3,3956
2022-07-12,Sung Mckinney,3,2729
2022-09-06,Mac Graves,1,1185
2022-01-22,Johna Santiago,4,2165
2022-04-11,Arnoldo Swanson,4,3837
2022-10-31,Chet Pierce,2,1108
2021-12-29,Danae Luca,4,3570
2022-11-11,Jae Keller,2,1664
2022-05-22,Antonia Mullins,1,2468
2022-12-27,Apryl Parks,4,1210
2022-08-17,Taisha Stephens,3,2723
2022-07-21,Elly Jimenez,4,2560
2022-01-29,Ricki Wells,4,3769
2022-10-29,Echo Moore,1,2861
2022-02-20,Reda West,3,2032
2022-06-03,Ezequiel Davis,4,1346
2022-12-20,Exie Morales,3,1508
2022-01-18,Rashad Hart,5,2274
2022-10-31,Tequila Daniel,4,3317
2022-10-10,Milan Erickson,2,1286
2022-06-08,Whitney Chandler,1,3441
2022-07-05,Karleen Davis,5,1106
2022-07-17,Gaston Phillips,1,2320
2022-04-27,Elanor Miles,5,3015
2022-04-06,Allen Keller,5,1228
2022-09-01,Chery King,4,3999
2022-05-04,Ceola King,2,2904
2022-01-02,Daron Colon,3,3204
2022-04-19,Bernie Flowers,2,1472
2022-01-25,Lory Woods,5,1492
2022-03-12,Tai Keller,5,3181
2022-10-21,Quintin Hunt,4,3339
2022-06-21,Kandis Blair,1,2026
2022-05-15,Barbar Mack,2,1652
2022-03-11,Meri Mccoy,3,1788
2022-07-29,Porter Strickland,4,3212
2022-06-10,Almeta Valdez,5,2412
2022-01-05,Azucena Long,5,2870
2022-08-02,Laquanda Knight,4,2138
2022-03-18,Towanda Santos,4,3107
2022-04-24,Olimpia Burns,2,3556
2022-04-20,Raylene Leonard,1,3643
2022-04-14,Latina Barnett,4,1486
2022-11-30,Cristopher Patterson,1,1915
2022-04-30,Gayle Austin,5,1851
2022-07-14,Rolland Simpson,1,3830
2022-10-27,Shirley Gibson,3,1948
2022-10-02,Raguel Olson,4,3095
2022-01-15,Bethann Morgan,4,3858
2022-05-04,Elanor Steele,5,3965
2022-11-09,Catarina Ross,3,1519
2022-08-24,Nicky Washington,5,1063
2022-09-12,Sherika Hall,4,3223
2022-11-15,Claud Woods,1,3732
2022-06-04,Haywood Johnston,1,1244
2022-02-12,Kathey Moran,5,3852
2022-02-20,Yolando Hoffman,4,2607
2022-09-07,Kraig Nunez,2,1279
2022-06-21,Emerita Robbins,1,3468
2022-05-30,Arden Thompson,1,3401
2022-11-24,Raymon Simon,5,1389
2022-04-13,Hilario Henry,2,2694
2022-09-15,Buck Mann,3,3508
2022-10-16,Sherlyn Christensen,1,1423
2022-07-29,Shavonne Lyons,2,1168
2022-02-05,Amado Franklin,2,2990
2022-12-10,Lenny Anderson,5,3525
2022-03-18,Echo Watson,1,1274
2022-04-04,Porfirio Lyons,5,2298
2022-05-05,Shad Kim,5,1986
2022-03-19,Svetlana Hughes,2,3911
2022-05-28,Karl Chandler,5,3085
2022-12-12,Elois Cook,4,3852
2022-12-05,Sherlyn Brown,3,3244
2022-07-04,Luna Sullivan,5,1870
2022-07-08,Jetta Vargas,3,3730
2022-01-31,Stanford Reid,1,1523
2022-05-18,Josiah Russell,3,1930
2022-12-14,Arie Webster,5,3197
2022-02-18,Jc Moran,4,3293
2022-08-27,Rudy Mccarthy,1,2158
2022-05-27,Arianne Banks,3,2831
2022-04-01,Haywood Fox,3,2020
2022-06-15,Shenita Joseph,5,2161
2022-09-29,Kimbery Wright,2,2011
2022-02-03,Jerrold Welch,4,3374
2022-05-27,Asa Castillo,4,2588
2022-02-25,Faustino Romero,2,3531
2022-12-17,Cristobal Mason,4,3054
2022-06-10,Clorinda Christensen,4,3794
2022-05-24,Ebonie Watson,4,2587
2022-10-30,Bernie Armstrong,3,2673
2022-08-25,Patria Ingram,1,2018
2022-12-12,Mikel Barber,1,1032
2022-09-27,Leif Wallace,3,2400
2022-11-04,Antonia Bailey,2,1395
2022-11-25,Chery Castillo,2,3825
2022-02-21,Gwenn Armstrong,1,2707
2022-04-16,Willian Poole,3,1397
2022-01-21,Emmitt Gardner,2,3982
2022-10-04,Foster Colon,1,2372
2022-04-24,Colton Bishop,2,2566
2022-01-24,Kimiko Robinson,2,3702
2022-06-03,Liberty Ballard,1,2137
2022-08-10,Evelin Yates,2,1686
2022-03-09,Allen Hines,4,2807
2022-08-09,Mel Padilla,1,1474
2022-02-04,Brett Waters,4,1533
2022-04-30,Mikel Boyd,1,3636
2022-04-14,Usha Mccoy,4,1884
2022-11-12,Theola Knight,3,3485
2022-02-14,Ariane Ford,1,1833
2022-10-20,Evelin Green,1,2983
2022-06-20,Danyell Dean,5,2831
2022-06-18,Katia Newton,5,3879
2022-03-23,Janee Dunn,4,1046
2022-11-21,Lala Mccoy,3,1593
2022-01-15,Sid Hammond,4,3223
2022-06-16,Twanna Davidson,3,1460
2022-11-29,Elisha Carlson,1,1603
